,2025년 입학,,,,,,,,,,,,,
,기초,,,제2외국어,,,과학,,,,사회,,,
,국어,수학,영어,독일어,중국어,일본어,물리,화학,생명과학,지구과학,일반사회,역사,윤리,지리
2학년,문학과 영상,기하,심화영어,독일어Ⅰ,중국어Ⅰ,일본어Ⅰ,물리학,화학,생명과학 ,지구과학,사회와 문화,세계사,현대사회와 윤리,세계시민과 지리
,언어생활 탐구,인공지능 수학,세계 문화와 영어,독일어Ⅱ ,중국어Ⅱ ,일본어Ⅱ ,역학과 에너지 ,물질과 에너지 ,세포와 물질대사 ,지구시스템과학 ,법과 사회,동아시아 역사 기행,윤리와 사상,한국지리 탐구
3학년,독서 토론과 글쓰기,미적분Ⅱ ,영어 독해와 작문,,,,전자기와 양자,화학 반응의 세계,생물의 유전,행성우주과학,금융과 경제생활,역사로 탐구하는 현대 세계,윤리문제 탐구,여행지리
,직무 의사소통,전문 수학,영어 발표와 토론,,,,,,,,경제,국제 관계의 이해,인문학과 윤리,도시의 미래탐구
,매체 의사소통 ,실용 통계,심화 영어 독해와 작문 ,,,,,,,,,,,
,주제 탐구 독서 ,,미디어 영어 ,,,,,,,,,,,
,,,영미 문학 읽기,,,,,,,,,,,
,,,실생활 영어 회화 ,,,,,,,,,,,
,,,,,,,,,,,,,,
,2024년 입학,,,,,,,,,,,,,
,기초,,,제2외국어,,,과학,,,,사회,,,
,국어,수학,영어,독일어,중국어,일본어,물리,화학,생명과학,지구과학,일반사회,역사,윤리,지리
2학년,심화 국어,기하,영미 문학 읽기,,,,물리학Ⅰ,화학Ⅰ,생명과학Ⅰ,지구과학Ⅰ,경제,세계사,윤리와 사상,세계지리
,,,,,,,,,,,정치와법,,,
3학년,언어와 매체,확률과 통계,영어 독해와 작문,,,,물리학Ⅱ ,화학Ⅱ,생명과학Ⅱ,지구과학Ⅱ,사회문화,동아시아사,생활과 윤리,한국지리
,화법과 작문,미적분,영어권 문화,,,,,,,,,,고전과 윤리,
,고전 읽기,수학과제 탐구,,,,,,,,,,,,
